SYMBOL,NAME OF COMPANY,SERIES,Unnamed: 8,YahooEquiv,Yahoo_Equivalent_Code
ALPA,Alpa Laboratories Limited,BE,.NS,ALPA.NS,"'ALPA.NS',"
ALPHAGEO,Alphageo (India) Limited,BE,.NS,ALPHAGEO.NS,"'ALPHAGEO.NS',"
ALPSINDUS,Alps Industries Limited,BE,.NS,ALPSINDUS.NS,"'ALPSINDUS.NS',"
AMBER,Amber Enterprises India Limited,EQ,.NS,AMBER.NS,"'AMBER.NS',"
AMBIKCO,Ambika Cotton Mills Limited,EQ,.NS,AMBIKCO.NS,"'AMBIKCO.NS',"
AMBUJACEM,Ambuja Cements Limited,EQ,.NS,AMBUJACEM.NS,"'AMBUJACEM.NS',"
AMDIND,AMD Industries Limited,EQ,.NS,AMDIND.NS,"'AMDIND.NS',"
AMJLAND,Amj Land Holdings Limited,EQ,.NS,AMJLAND.NS,"'AMJLAND.NS',"
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,.NS,AMRUTANJAN.NS,"'AMRUTANJAN.NS',"
ANANTRAJ,Anant Raj Limited,EQ,.NS,ANANTRAJ.NS,"'ANANTRAJ.NS',"
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,.NS,ANDHRAPAP.NS,"'ANDHRAPAP.NS',"
ANDHRSUGAR,The Andhra Sugars Limited,EQ,.NS,ANDHRSUGAR.NS,"'ANDHRSUGAR.NS',"
ANIKINDS,Anik Industries Limited,BE,.NS,ANIKINDS.NS,"'ANIKINDS.NS',"
ANKITMETAL,Ankit Metal & Power Limited,BE,.NS,ANKITMETAL.NS,"'ANKITMETAL.NS',"
ANSALAPI,Ansal Properties & Infrastructure Limited,BE,.NS,ANSALAPI.NS,"'ANSALAPI.NS',"
ANUP,The Anup Engineering Limited,EQ,.NS,ANUP.NS,"'ANUP.NS',"
APARINDS,Apar Industries Limited,EQ,.NS,APARINDS.NS,"'APARINDS.NS',"
APCL,Anjani Portland Cement Limited,EQ,.NS,APCL.NS,"'APCL.NS',"
APCOTEXIND,Apcotex Industries Limited,EQ,.NS,APCOTEXIND.NS,"'APCOTEXIND.NS',"
APEX,Apex Frozen Foods Limited,EQ,.NS,APEX.NS,"'APEX.NS',"
APLAPOLLO,APL Apollo Tubes Limited,EQ,.NS,APLAPOLLO.NS,"'APLAPOLLO.NS',"
APLLTD,Alembic Pharmaceuticals Limited,EQ,.NS,APLLTD.NS,"'APLLTD.NS',"
APOLLO,Apollo Micro Systems Limited,EQ,.NS,APOLLO.NS,"'APOLLO.NS',"
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,.NS,APOLLOHOSP.NS,"'APOLLOHOSP.NS',"
APOLLOPIPE,Apollo Pipes Limited,EQ,.NS,APOLLOPIPE.NS,"'APOLLOPIPE.NS',"
APOLLOTYRE,Apollo Tyres Limited,EQ,.NS,APOLLOTYRE.NS,"'APOLLOTYRE.NS',"
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,.NS,APOLSINHOT.NS,"'APOLSINHOT.NS',"
APTECHT,Aptech Limited,EQ,.NS,APTECHT.NS,"'APTECHT.NS',"
ARCHIDPLY,Archidply Industries Limited,BE,.NS,ARCHIDPLY.NS,"'ARCHIDPLY.NS',"
ARCHIES,Archies Limited,EQ,.NS,ARCHIES.NS,"'ARCHIES.NS',"
ARCOTECH,Arcotech Limited,BZ,.NS,ARCOTECH.NS,"'ARCOTECH.NS',"
ARENTERP,Rajdarshan Industries Limited,EQ,.NS,ARENTERP.NS,"'ARENTERP.NS',"
ARIES,Aries Agro Limited,EQ,.NS,ARIES.NS,"'ARIES.NS',"
ARIHANTSUP,Arihant Superstructures Limited,EQ,.NS,ARIHANTSUP.NS,"'ARIHANTSUP.NS',"
ARMANFIN,Arman Financial Services Limited,EQ,.NS,ARMANFIN.NS,"'ARMANFIN.NS',"
AROGRANITE,Aro Granite Industries Limited,EQ,.NS,AROGRANITE.NS,"'AROGRANITE.NS',"
ARROWGREEN,Arrow Greentech Limited,EQ,.NS,ARROWGREEN.NS,"'ARROWGREEN.NS',"
ARSHIYA,Arshiya Limited,EQ,.NS,ARSHIYA.NS,"'ARSHIYA.NS',"
ARSSINFRA,ARSS Infrastructure Projects Limited,EQ,.NS,ARSSINFRA.NS,"'ARSSINFRA.NS',"
ARTEMISMED,Artemis Medicare Services Limited,BE,.NS,ARTEMISMED.NS,"'ARTEMISMED.NS',"
ARVIND,Arvind Limited,EQ,.NS,ARVIND.NS,"'ARVIND.NS',"
ARVINDFASN,Arvind Fashions Limited,EQ,.NS,ARVINDFASN.NS,"'ARVINDFASN.NS',"
ARVSMART,Arvind SmartSpaces Limited,EQ,.NS,ARVSMART.NS,"'ARVSMART.NS',"
ASAHIINDIA,Asahi India Glass Limited,EQ,.NS,ASAHIINDIA.NS,"'ASAHIINDIA.NS',"
ASAHISONG,Asahi Songwon Colors Limited,EQ,.NS,ASAHISONG.NS,"'ASAHISONG.NS',"
ASAL,Automotive Stampings and Assemblies Limited,EQ,.NS,ASAL.NS,"'ASAL.NS',"
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,.NS,ASALCBR.NS,"'ASALCBR.NS',"
ASHAPURMIN,Ashapura Minechem Limited,EQ,.NS,ASHAPURMIN.NS,"'ASHAPURMIN.NS',"
